,weights
2017-05-30 23:59:00+00:00,"coin
btc    4.692825e-01
eth    2.605905e-01
ltc    1.144235e-01
etc    7.829502e-02
xrp    5.212854e-02
xmr    1.244054e-02
zec    1.003848e-02
neo    2.356024e-03
bcc    4.448664e-04
dsh    4.603043e-08
Name: volume, dtype: float64"
2017-05-31 23:59:00+00:00,"coin
btc    4.692825e-01
eth    2.605905e-01
ltc    1.144235e-01
etc    7.829502e-02
xrp    5.212854e-02
xmr    1.244054e-02
zec    1.003848e-02
neo    2.356024e-03
bcc    4.448664e-04
dsh    4.603043e-08
Name: volume, dtype: float64"
2017-06-01 23:59:00+00:00,"coin
btc    4.692825e-01
eth    2.605905e-01
ltc    1.144235e-01
etc    7.829502e-02
xrp    5.212854e-02
xmr    1.244054e-02
zec    1.003848e-02
neo    2.356024e-03
bcc    4.448664e-04
dsh    4.603043e-08
Name: volume, dtype: float64"
2017-06-02 23:59:00+00:00,"coin
btc    4.692825e-01
eth    2.605905e-01
ltc    1.144235e-01
etc    7.829502e-02
xrp    5.212854e-02
xmr    1.244054e-02
zec    1.003848e-02
neo    2.356024e-03
bcc    4.448664e-04
dsh    4.603043e-08
Name: volume, dtype: float64"
2017-06-03 23:59:00+00:00,"coin
btc    4.692825e-01
eth    2.605905e-01
ltc    1.144235e-01
etc    7.829502e-02
xrp    5.212854e-02
xmr    1.244054e-02
zec    1.003848e-02
neo    2.356024e-03
bcc    4.448664e-04
dsh    4.603043e-08
Name: volume, dtype: float64"
2017-06-04 23:59:00+00:00,"coin
btc    4.692825e-01
eth    2.605905e-01
ltc    1.144235e-01
etc    7.829502e-02
xrp    5.212854e-02
xmr    1.244054e-02
zec    1.003848e-02
neo    2.356024e-03
bcc    4.448664e-04
dsh    4.603043e-08
Name: volume, dtype: float64"
2017-06-05 23:59:00+00:00,"coin
btc    4.692825e-01
eth    2.605905e-01
ltc    1.144235e-01
etc    7.829502e-02
xrp    5.212854e-02
xmr    1.244054e-02
zec    1.003848e-02
neo    2.356024e-03
bcc    4.448664e-04
dsh    4.603043e-08
Name: volume, dtype: float64"
2017-06-06 23:59:00+00:00,"coin
btc    5.148738e-01
eth    2.525746e-01
ltc    1.053492e-01
xrp    7.433829e-02
etc    3.728484e-02
zec    8.296200e-03
xmr    5.012847e-03
neo    1.591544e-03
bcc    6.785735e-04
dsh    1.391361e-07
Name: volume, dtype: float64"
2017-06-07 23:59:00+00:00,"coin
btc    5.148738e-01
eth    2.525746e-01
ltc    1.053492e-01
xrp    7.433829e-02
etc    3.728484e-02
zec    8.296200e-03
xmr    5.012847e-03
neo    1.591544e-03
bcc    6.785735e-04
dsh    1.391361e-07
Name: volume, dtype: float64"
2017-06-08 23:59:00+00:00,"coin
btc    5.148738e-01
eth    2.525746e-01
ltc    1.053492e-01
xrp    7.433829e-02
etc    3.728484e-02
zec    8.296200e-03
xmr    5.012847e-03
neo    1.591544e-03
bcc    6.785735e-04
dsh    1.391361e-07
Name: volume, dtype: float64"
