coin,date,volume,price,market_cap
ada,2017-10-01,11867200,0.0216779,0.0
ada,2017-10-02,88815400,0.0272619,661156690.0
ada,2017-10-03,20214100,0.0207845,538881197.0
ada,2017-10-04,9635980,0.0226537,587344077.0
ada,2017-10-05,6045190,0.0217317,563439318.0
ada,2017-10-06,6964680,0.019455,504411157.0
ada,2017-10-07,8054420,0.0201392,522150458.0
ada,2017-10-08,7590780,0.0210839,546643762.0
ada,2017-10-09,4738260,0.0212759,551621760.0
ada,2017-10-10,2964940,0.0220031,570475925.0
ada,2017-10-11,3288420,0.0222271,576283589.0
ada,2017-10-12,7244770,0.0253854,658169056.0
ada,2017-10-13,11173600,0.0300105,778084350.0
ada,2017-10-14,32504400,0.0328433,851530555.0
ada,2017-10-15,7556570,0.0302291,783752008.0
ada,2017-10-16,5869030,0.0289262,749971627.0
ada,2017-10-17,7380670,0.0277955,720655889.0
ada,2017-10-18,2411150,0.0258001,668921012.0
ada,2017-10-19,2748150,0.0266281,690388626.0
ada,2017-10-20,8669790,0.0299807,777311723.0
ada,2017-10-21,5705550,0.0290413,752955833.0
ada,2017-10-22,2893690,0.0272387,706219696.0
ada,2017-10-23,2970200,0.0255904,663484105.0
ada,2017-10-24,8097360,0.0277349,719084708.0
ada,2017-10-25,2698090,0.0270193,700531296.0
ada,2017-10-26,2408480,0.0267688,694036565.0
ada,2017-10-27,2490700,0.0261114,676992109.0
ada,2017-10-28,1712180,0.0259744,673440100.0
ada,2017-10-29,4569870,0.0294851,764462267.0
ada,2017-10-30,4011710,0.0278181,721241840.0
ada,2017-10-31,6715590,0.030508,790983067.0
ada,2017-11-01,9211240,0.0243648,631707888.0
ada,2017-11-02,6518310,0.0231554,600351689.0
ada,2017-11-03,2970780,0.0218868,567460607.0
ada,2017-11-04,2680650,0.0228902,593475830.0
ada,2017-11-05,1960940,0.0224069,580945276.0
ada,2017-11-06,4877850,0.0229171,594173268.0
ada,2017-11-07,2774470,0.022163,574621664.0
ada,2017-11-08,5566230,0.0262907,681640833.0
ada,2017-11-09,16864600,0.0326806,847312221.0
ada,2017-11-10,8776510,0.0267456,693435057.0
ada,2017-11-11,5428600,0.0272984,707767542.0
ada,2017-11-12,7557570,0.0244903,634961735.0
ada,2017-11-13,4288220,0.0252581,654868540.0
ada,2017-11-14,3221940,0.0266983,692208707.0
ada,2017-11-15,6741610,0.0257189,666815734.0
ada,2017-11-16,5058730,0.0273555,709247978.0
ada,2017-11-17,3408190,0.0262768,681280447.0
ada,2017-11-18,3238450,0.0264105,684746896.0
ada,2017-11-19,4362140,0.0281885,730845227.0
ada,2017-11-20,15803600,0.0306602,794929168.0
ada,2017-11-21,6459370,0.028471,738169625.0
ada,2017-11-22,4809040,0.0281302,729333679.0
ada,2017-11-23,5189920,0.0281788,730593735.0
ada,2017-11-24,5408240,0.0284915,738701130.0
ada,2017-11-25,6000200,0.0299942,777661739.0
ada,2017-11-26,28459400,0.0383347,993906470.0
ada,2017-11-27,70813100,0.0495975,1285917881.0
ada,2017-11-28,153100000,0.0927671,2405179145.0
ada,2017-11-29,291188000,0.0927971,2405956957.0
ada,2017-11-30,113581000,0.112762,2923588328.0
ada,2017-12-01,89422800,0.128264,3325509775.0
ada,2017-12-02,57364300,0.132878,3445137278.0
ada,2017-12-03,48729400,0.133157,3452370931.0
ada,2017-12-04,73596500,0.138073,3579828410.0
ada,2017-12-05,51020800,0.129477,3356959312.0
